Protein1,Protein2,avg_n_models
P0DPH7,Q5VZ52,0.333
P0DPI3,Q6ZMP0,0.333
P0DPQ6,Q9Y5R6,0.333
P0DQW0,Q9NZC9,0.333
P0DQW1,Q6PCB5,0.333
P0DSO1,Q8N912,0.333
P0DTE0,Q9Y263,0.333
P0DTE1,Q6P6B1,0.333
P0DTE1,Q9P127,0.333
P0DTE2,Q9BUV8,0.333
P0DTE2,Q9NYV9,0.333
P0DTE8,P29401,0.333
P0DTE8,Q7Z4M0,0.333
P0DTW1,Q5QP82,0.333
P0DTW3,P51808,0.333
P0DUB6,Q8TAB3,0.333
P0DUD3,Q92558,0.333
P0DUX1,P50221,0.333
P0DUX1,Q9GZU8,0.333
P0DUX1,Q9NRI5,0.333
P0DV74,Q6UWN0,0.333
P0DV79,Q9HAC8,0.333
P0DW28,P28838,0.333
P0DW85,P54849,0.333
P10070,Q9UHP6,0.333
P10071,Q9UL49,0.333
P10074,P31146,0.333
P10144,Q2M1V0,0.333
P10145,Q14542,0.333
P10145,Q6UXP3,0.333
P10243,Q6UXX5,0.333
P10244,P24666,0.333
P10244,Q9HCE5,0.333
P10253,Q8NGN8,0.333
P10301,Q8NHP1,0.333
P10321,Q9UK32,0.333
P10321,Q9Y2Q0,0.333
P10398,Q9NUU7,0.333
P10451,Q86UU1,0.333
P10523,Q07343,0.333
P10586,Q9UI46,0.333
P10599,Q9P0K7,0.333
P10635,Q5JSS6,0.333
P10645,Q04446,0.333
P10645,Q96LL9,0.333
P10646,Q53TQ3,0.333
P10720,Q9Y2X8,0.333
P10720,Q9Y581,0.333
P10721,Q8TBB1,0.333
P10747,P51689,0.333
P10747,Q96NR8,0.333
P10768,Q8WXI9,0.333
P10912,Q6NVH7,0.333
P10916,Q8IUE1,0.333
P10966,Q9H2S5,0.333
P10997,Q9BZQ4,0.333
P11047,Q7Z7F0,0.333
P11117,Q9NRX6,0.333
P11137,Q14258,0.333
P11142,P51124,0.333
P11168,Q9Y5M8,0.333
P11215,Q9BTD8,0.333
P11217,Q8IV50,0.333
P11229,Q08499,0.333
P11233,Q10469,0.333
P11234,P51864,0.333
P11308,Q8N690,0.333
P11309,Q8IZ40,0.333
P11309,Q8NDC4,0.333
P11464,Q5SSQ6,0.333
P11464,Q9UJ90,0.333
P11473,P51690,0.333
P11488,Q6UDR6,0.333
P11511,Q8WWK9,0.333
P11597,Q96JL9,0.333
P11686,Q02086,0.333
P11686,Q9H6Z9,0.333
P11717,Q9BYV8,0.333
P11836,Q16822,0.333
P11844,Q96A84,0.333
P12034,Q8NAP1,0.333
P12036,P84077,0.333
P12081,Q86SG6,0.333
P12107,Q8TE23,0.333
P12107,Q9BU40,0.333
P12109,Q6UXH8,0.333
P12109,Q99487,0.333
P12236,Q8IYT1,0.333
P12271,Q9H227,0.333
P12273,Q14714,0.333
P12319,P61970,0.333
P12319,Q32M78,0.333
P12319,Q8N9R0,0.333
P12319,Q9H0X4,0.333
P12429,Q96H12,0.333
P12429,Q9H0R6,0.333
P12532,Q8TE67,0.333
P12544,Q8NGX9,0.333
P12643,Q8NHY6,0.333
P12644,Q9NUN5,0.333
P12694,Q8N9W5,0.333
P12724,Q9UJC5,0.333
P12829,Q5T8I9,0.333
P12830,Q63HM1,0.333
P12830,Q9GZZ6,0.333
P12838,Q86SE8,0.333
P12956,Q8N6L0,0.333
P13051,Q9NTX9,0.333
P13051,Q9NZC3,0.333
P13236,Q9Y6N1,0.333
P13284,Q9UKC9,0.333
P13284,Q9UPV7,0.333
P13489,Q8NFZ8,0.333
P13501,Q9BXM9,0.333
P13521,P29373,0.333
P13521,Q5VW32,0.333
P13521,Q9NQZ5,0.333
P13521,Q9NYL9,0.333
P13584,Q9Y6M9,0.333
P13598,P29120,0.333
P13598,Q15078,0.333
P13631,Q8NG95,0.333
P13640,Q13564,0.333
P13645,Q13049,0.333
P13647,Q9ULS5,0.333
P13674,P43116,0.333
P13674,Q8IXZ2,0.333
P13682,P51681,0.333
P13686,Q9Y605,0.333
P13725,Q8IXF9,0.333
P13726,Q8IV01,0.333
P13726,Q96G61,0.333
P13796,P50616,0.333
P13796,Q3V6T2,0.333
P13805,Q07092,0.333
P13807,P49019,0.333
P13861,Q9UHP7,0.333
P13929,Q8WTX9,0.333
P13942,Q7Z2Q7,0.333
P13942,Q9Y679,0.333
P13994,Q9H8W4,0.333
P13994,Q9UN79,0.333
P13995,P55347,0.333
P14091,Q8IY33,0.333
P14136,Q6UB28,0.333
P14138,Q08174,0.333
P14138,Q9NYS0,0.333
P14174,Q96C55,0.333
P14209,P49908,0.333
P14209,Q71F56,0.333
P14316,Q9BT22,0.333
P14317,P21266,0.333
P14373,Q8N945,0.333
P14406,Q8N7S6,0.333
P14406,Q8WW01,0.333
P14543,Q15555,0.333
P14555,Q3C1V8,0.333
P14555,Q9UPW0,0.333
P14635,Q15743,0.333
P14649,Q8N1A6,0.333
P14651,Q9H4H8,0.333
P14652,Q15032,0.333
P14679,Q3MIV0,0.333
P14679,Q8IVT5,0.333
P14770,Q96LB3,0.333
P14780,Q9BYW2,0.333
P14780,Q9H339,0.333
P14784,Q9P0T7,0.333
P14784,Q9Y4C2,0.333
P14859,Q8WVZ9,0.333
P14868,Q8WUQ7,0.333
P14921,P23942,0.333
P14921,Q99594,0.333
P15036,Q16181,0.333
P15036,Q53FP2,0.333
P15090,Q8N141,0.333
P15090,Q9H6Q4,0.333
P15151,Q14246,0.333
P15153,Q96DN5,0.333
P15259,Q2HXU8,0.333
P15260,P78329,0.333
P15260,Q08357,0.333
P15289,P28074,0.333
P15309,Q9P2W6,0.333
P15328,Q13231,0.333
P15328,Q9BSN7,0.333
P15374,Q7Z7A4,0.333
P15382,Q6ZS82,0.333
P15407,Q8N1A6,0.333
P15408,Q9Y661,0.333
P15502,Q15653,0.333
P15514,Q969S6,0.333
P15515,Q6ZTZ1,0.333
P15516,Q9H095,0.333
P15538,Q96BX8,0.333
P15586,Q8WUF5,0.333
P15586,Q9H1K0,0.333
P15735,Q96QH2,0.333
P15812,Q15056,0.333
P15813,Q8NH95,0.333
P15923,Q8WYL5,0.333
P15927,Q9Y2C4,0.333
P15976,P49023,0.333
P16050,Q86X02,0.333
P16070,Q15759,0.333
P16070,Q8IVH2,0.333
P16112,P20231,0.333
P16152,Q96D70,0.333
P16152,Q9BU20,0.333
P16220,Q8NGI3,0.333
P16220,Q96D71,0.333
P16233,P36544,0.333
P16233,Q8NGQ3,0.333
P16260,Q16877,0.333
P16278,Q6P0N0,0.333
P16333,Q8NBB2,0.333
P16333,Q8WU08,0.333
P16383,Q8IXQ9,0.333
P16410,Q3C1V1,0.333
P16422,Q9UHA4,0.333
P16442,Q9BZM2,0.333
P16444,Q5H9J7,0.333
P16471,Q49SQ1,0.333
P16499,Q08752,0.333
P16519,Q9HCJ3,0.333
P16562,Q15788,0.333
P16619,Q9UL42,0.333
P16662,Q96C01,0.333
P16662,Q9HBU6,0.333
P16671,Q16842,0.333
P16989,Q8N4S9,0.333
P17022,Q9BPU6,0.333
P17026,Q2TBC4,0.333
P17030,Q86YR5,0.333
P17031,Q6T4R5,0.333
P17032,Q8N7C0,0.333
P17032,Q8NA75,0.333
P17066,Q6IPR1,0.333
P17152,Q92506,0.333
P17174,P41214,0.333
P17252,Q05952,0.333
P17342,Q14773,0.333
P17480,Q9NRW1,0.333
P17535,Q8WUD4,0.333
P17535,Q9BRU2,0.333
P17538,P49842,0.333
P17538,Q9BXY5,0.333
P17540,Q9NRS4,0.333
P17643,P24941,0.333
P17661,Q9ULI4,0.333
P17693,Q7Z6M3,0.333
P17693,Q8WWP7,0.333
P17706,P29317,0.333
P17813,Q5VW32,0.333
P17813,Q9NRS4,0.333
P17861,Q6ZNI0,0.333
P17900,Q6UX73,0.333
P17936,P48448,0.333
P17936,P54253,0.333
P17936,Q14D33,0.333
P17948,Q8WXS8,0.333
P17980,Q9H7X7,0.333
P18031,Q8TC44,0.333
P18054,Q9UKK3,0.333
P18065,Q96EK2,0.333
P18074,Q8IXA5,0.333
P18077,Q15761,0.333
P18077,Q8IWI9,0.333
P18124,Q00613,0.333
P18405,Q9NYG5,0.333
P18428,Q92934,0.333
P18440,Q8WXQ8,0.333
P18577,P78369,0.333
P18577,Q9BR26,0.333
P18754,Q8NGE0,0.333
P18825,Q8NFB2,0.333
P18846,Q7Z5M5,0.333
P18887,P48050,0.333
P18887,Q9H0B8,0.333
P19021,Q14849,0.333
P19075,P49755,0.333
P19099,Q9BUH6,0.333
P19113,P45877,0.333
P19224,Q6PCB0,0.333
P19235,Q9UGI8,0.333
P19237,Q8NG50,0.333
P19387,Q02833,0.333
P19404,Q8NG27,0.333
P19429,Q9H2U9,0.333
P19438,P51826,0.333
P19438,Q9H3S3,0.333
P19474,Q9P2F5,0.333
P19484,Q8N8D7,0.333
P19525,Q9NXS3,0.333
P19526,Q8IUC4,0.333
P19623,Q9UJY4,0.333
P19652,Q30KQ1,0.333
P19652,Q9UBF6,0.333
P19793,P55211,0.333
P19793,Q6UWX4,0.333
P19835,Q6UXT9,0.333
P19838,Q6ZS10,0.333
P19875,P48594,0.333
P19876,Q8N8U3,0.333
P19961,Q9Y2Q5,0.333
P20036,Q7Z7C8,0.333
P20062,Q9H2X9,0.333
P20151,Q8TE96,0.333
P20160,Q8N1L9,0.333
P20160,Q9H8T0,0.333
P20226,P24534,0.333
P20226,Q6NS38,0.333
P20226,Q969E1,0.333
P20231,Q5TCM9,0.333
P20264,Q53SZ7,0.333
P20265,Q8N6U8,0.333
P20273,Q9BWX5,0.333
P20290,P55197,0.333
P20309,P62745,0.333
P20333,Q9UDW3,0.333
P20338,Q14145,0.333
P20338,Q9UKL0,0.333
P20366,Q9Y6X5,0.333
P20393,Q5TB30,0.333
P20393,Q6IPM2,0.333
P20393,Q6UXD1,0.333
P20472,Q9NXF8,0.333
P20645,Q8NHG8,0.333
P20674,Q96EX2,0.333
P20700,Q9Y2H0,0.333
P20719,P49862,0.333
P20742,Q9UHV9,0.333
P20783,Q71DI3,0.333
P20783,Q9NUX5,0.333
P20800,Q96GI7,0.333
P20807,Q86TJ5,0.333
P20809,Q9H0I3,0.333
P20815,Q9H521,0.333
P20823,Q8WUE5,0.333
P20848,Q92989,0.333
P20851,Q8N371,0.333
P20908,Q7Z5K2,0.333
P20916,Q96FV0,0.333
P21108,Q8N612,0.333
P21128,P61626,0.333
P21128,Q8N112,0.333
P21128,Q8TC20,0.333
P21217,P59538,0.333
P21246,Q8TEY5,0.333
P21281,Q8WVV4,0.333
P21462,Q8N9V7,0.333
P21554,P43088,0.333
P21579,Q8WUK0,0.333
P21579,Q9UHB4,0.333
P21580,Q86WC6,0.333
P21675,P22033,0.333
P21675,Q05901,0.333
P21709,P27348,0.333
P21709,P62191,0.333
P21709,Q13651,0.333
P21728,Q96RT7,0.333
P21741,P43364,0.333
P21781,Q5T5M9,0.333
P21802,P28340,0.333
P21918,Q6GMV3,0.333
P21941,Q8WXA8,0.333
P21953,Q8IYS0,0.333
P21964,Q99519,0.333
P21964,Q9NTG7,0.333
P22004,Q9H341,0.333
P22061,Q13106,0.333
P22304,Q8NCW5,0.333
P22307,Q9NPI6,0.333
P22309,P62491,0.333
P22314,Q2V2M9,0.333
P22352,P43358,0.333
P22352,Q504T8,0.333
P22352,Q5JR98,0.333
P22352,Q9Y5L2,0.333
P22392,Q96P65,0.333
P22415,Q8IZ52,0.333
P22674,Q7L0Y3,0.333
P22681,Q99805,0.333
P22692,P49281,0.333
P22692,Q06587,0.333
P22692,Q9NWQ9,0.333
P22694,Q9Y6X1,0.333
P22732,Q9H347,0.333
P22732,Q9NY74,0.333
P22735,Q8WXS8,0.333
P22736,Q9NYY1,0.333
P22748,Q92889,0.333
P22760,Q7RTU7,0.333
P22830,Q9UBL0,0.333
P23229,Q99811,0.333
P23229,Q9H5P4,0.333
P23258,Q8TDN1,0.333
P23258,Q9BWV1,0.333
P23280,Q9C0C6,0.333
P23284,Q14525,0.333
P23396,P35241,0.333
P23409,Q4AC99,0.333
P23434,Q9NQR7,0.333
P23468,Q9NUU6,0.333
P23471,Q96GR4,0.333
P23490,Q8IWX7,0.333
P23497,Q9NWU1,0.333
P23508,Q5HYW3,0.333
P23508,Q5TB30,0.333
P23508,Q6P5Q4,0.333
P23508,Q9UKU9,0.333
P23510,Q6NUN9,0.333
P23511,Q92784,0.333
P23511,Q9NRC1,0.333
P23527,Q9UN75,0.333
P23528,Q5JTB6,0.333
P23528,Q99856,0.333
P23582,P51808,0.333
P23743,Q9BXX2,0.333
P23763,Q86V25,0.333
P23771,Q6P9H4,0.333
P23771,Q9UPV0,0.333
P23942,Q92782,0.333
P24043,Q9UJD0,0.333
P24158,Q9Y6D0,0.333
P24310,Q5H913,0.333
P24347,Q96BT3,0.333
P24385,Q8N912,0.333
P24462,Q9Y6W6,0.333
P24468,Q8NEM0,0.333
P24468,Q92896,0.333
P24468,Q9UJT9,0.333
P24522,Q9Y448,0.333
P24534,Q08AG7,0.333
P24592,P26678,0.333
P24592,Q2TAC2,0.333
P24666,Q12837,0.333
P24723,Q0JRZ9,0.333
P24863,Q96PC3,0.333
P24864,Q9P2N5,0.333
P25025,P52849,0.333
P25063,Q53RD9,0.333
P25089,Q9H0R8,0.333
P25090,P41180,0.333
P25090,Q96DN2,0.333
P25092,P58294,0.333
P25101,Q8NEV1,0.333
P25101,Q9BW04,0.333
P25106,Q6PIU1,0.333
P25106,Q8TAA3,0.333
P25311,Q15417,0.333
P25398,Q5VUE5,0.333
P25398,Q9UBD3,0.333
P25440,Q9Y2H2,0.333
P25445,Q14114,0.333
P25685,P30556,0.333
P25685,Q9NX40,0.333
P25786,Q9UIF9,0.333
P25787,Q6NTE8,0.333
P25787,Q8WWL2,0.333
P25791,Q14160,0.333
P25791,Q8WXX7,0.333
P25791,Q9NXZ2,0.333
P25800,Q9Y257,0.333
P25815,Q12981,0.333
P26006,Q96S06,0.333
P26012,Q6P3W7,0.333
P26022,Q16649,0.333
P26045,Q15459,0.333
P26374,P29353,0.333
P26374,Q9NZI5,0.333
P26441,Q8WTU0,0.333
P26447,Q9BRF8,0.333
P26583,P40617,0.333
P26583,Q5SVZ6,0.333
P26641,Q13368,0.333
P26678,P56715,0.333
P26717,P63241,0.333
P26717,Q5VVC0,0.333
P26842,P39210,0.333
P26842,Q8NGP4,0.333
P26951,Q93063,0.333
P27037,Q68CZ2,0.333
P27037,Q8NHV1,0.333
P27105,Q9NSY1,0.333
P27216,P50479,0.333
P27352,Q99972,0.333
P27635,Q9BRP7,0.333
P27694,Q86YM7,0.333
P27815,Q99502,0.333
P27824,Q9UK17,0.333
P28065,Q8N3C7,0.333
P28221,Q075Z2,0.333
P28221,Q6P087,0.333
P28223,Q6RFH5,0.333
P28289,Q14160,0.333
P28290,Q53SZ7,0.333
P28331,Q9BTU6,0.333
P28331,Q9ULL1,0.333
P28332,Q08554,0.333
P28332,Q86Y22,0.333
P28356,Q9H2S5,0.333
P28360,Q01851,0.333
P28749,Q96EK2,0.333
P28799,Q16676,0.333
P28827,Q13017,0.333
P28906,P35452,0.333
P28906,Q14978,0.333
P28907,Q99805,0.333
P28908,Q9NWB1,0.333
P29034,Q9NVA1,0.333
P29083,P49321,0.333
P29084,Q96QH8,0.333
P29084,Q9Y6M5,0.333
P29275,Q9UKT6,0.333
P29350,Q13751,0.333
P29371,P53816,0.333
P29376,Q5JTW2,0.333
P29460,Q6UXL0,0.333
P29475,Q8N3P4,0.333
P29508,Q6QNY1,0.333
P29597,Q6IF63,0.333
P29622,P49841,0.333
P29728,Q16206,0.333
P29762,Q5VZR4,0.333
P29992,Q69YI7,0.333
P30041,Q99801,0.333
P30043,P47901,0.333
P30043,Q9BY14,0.333
P30048,Q9H4G4,0.333
P30086,Q86Y39,0.333
P30203,Q96BJ8,0.333
P30273,Q86XW9,0.333
P30281,Q7Z4J2,0.333
P30301,Q8TDU5,0.333
P30307,Q99616,0.333
P30307,Q9UGL1,0.333
P30405,Q6PIV7,0.333
P30414,Q7L7V1,0.333
P30414,Q8WUF5,0.333
P30511,P81877,0.333
P30518,Q02487,0.333
P30518,Q8NHM5,0.333
P30556,Q9P2T0,0.333
P30622,Q8TE76,0.333
P30622,Q9P1Y5,0.333
P30626,Q9UI09,0.333
P30838,Q8NGL3,0.333
P30872,Q9BR61,0.333
P30988,Q12851,0.333
P30989,P32745,0.333
P31152,Q6ZVC0,0.333
P31152,Q8WXJ9,0.333
P31213,P35568,0.333
P31260,Q96NK8,0.333
P31268,Q86XE5,0.333
P31269,Q9NSC7,0.333
P31269,Q9NVE5,0.333
P31275,Q14511,0.333
P31314,P48539,0.333
P31321,Q8N3R3,0.333
P31321,Q96JZ2,0.333
P31431,Q15669,0.333
P31431,Q7Z3Z2,0.333
P31483,Q8NHS9,0.333
P31512,Q5T9C2,0.333
P31639,Q8N1Y9,0.333
P31749,Q4G0N7,0.333
P31785,Q13093,0.333
P31930,P35225,0.333
P31930,Q9NRR8,0.333
P31937,Q4G112,0.333
P31939,Q5H9E4,0.333
P31941,Q9H503,0.333
P31943,P51124,0.333
P31944,P43308,0.333
P31946,Q9BRK4,0.333
P31947,Q8IUH2,0.333
P31947,Q9BXU1,0.333
P31947,Q9NV70,0.333
P31948,Q8WXS5,0.333
P31994,Q02446,0.333
P31997,Q9NQ88,0.333
P32019,Q86VP3,0.333
P32121,Q3B7S5,0.333
P32189,Q14188,0.333
P32238,Q8WUJ1,0.333
P32239,Q5W041,0.333
P32247,Q8IZI9,0.333
P32519,Q6ZWH5,0.333
P32519,Q9P1P5,0.333
P32745,Q3T8J9,0.333
P32856,Q15059,0.333
P32856,Q6ZS82,0.333
P32856,Q8IV42,0.333
P32881,P47902,0.333
P32881,Q5VZ03,0.333
P32926,P36896,0.333
P32942,P84022,0.333
P32970,Q9H0U6,0.333
P32970,Q9H2F3,0.333
P32971,Q16795,0.333
P33151,Q16617,0.333
P33176,Q86TY3,0.333
P33176,Q9HC77,0.333
P33241,Q9H3U1,0.333
P33260,Q8N5R6,0.333
P33552,Q8N326,0.333
P33681,Q6ZMP0,0.333
P33681,Q92633,0.333
P33763,Q9Y6H3,0.333
P33764,Q9UIL4,0.333
P33778,Q96A19,0.333
P33947,Q5XUX0,0.333
P33981,Q9Y2Y8,0.333
P34130,Q99884,0.333
P34810,Q9NZC4,0.333
P34910,P41597,0.333
P34913,Q13637,0.333
P34925,Q9BQ48,0.333
P34931,Q5VWW1,0.333
P34947,Q8IXM3,0.333
P34949,Q86V88,0.333
P34982,Q96LW2,0.333
P35052,Q5VY80,0.333
P35225,Q5T1B0,0.333
P35227,Q92613,0.333
P35244,Q15560,0.333
P35251,Q8TF72,0.333
P35268,Q8TB03,0.333
P35346,Q86VN1,0.333
P35367,Q9UNZ2,0.333
P35408,Q14CM0,0.333
P35408,Q14CZ7,0.333
P35408,Q86SQ4,0.333
P35408,Q9BZ71,0.333
P35414,P61026,0.333
P35414,Q8IYT4,0.333
P35443,Q07092,0.333
P35527,Q5T655,0.333
P35542,Q17RQ9,0.333
P35542,Q96F45,0.333
P35557,Q13585,0.333
P35579,Q8IXW0,0.333
P35579,Q8N428,0.333
P35610,P56278,0.333
P35626,Q9NP74,0.333
P35658,Q5T6R2,0.333
P35711,Q13422,0.333
P35711,Q52M93,0.333
P35716,P49918,0.333
P35790,Q9H165,0.333
P35813,Q96N68,0.333
P35908,Q5MJ70,0.333
P35913,Q9H7L9,0.333
P35914,Q9NWS1,0.333
P36268,Q2HXU8,0.333
P36268,Q8IY95,0.333
P36268,Q9Y5Q5,0.333
P36383,P54845,0.333
P36402,Q96T91,0.333
P36402,Q9Y2P8,0.333
P36537,Q9BZX2,0.333
P36542,Q86Z23,0.333
P36544,P78426,0.333
P36551,Q495Y8,0.333
P36575,Q13268,0.333
P36776,Q15777,0.333
P36888,Q9BQW3,0.333
P36894,Q5VTD9,0.333
P36952,P58417,0.333
P36952,Q86X53,0.333
P36969,P63151,0.333
P36980,Q12879,0.333
P37023,Q8NHV9,0.333
P37231,Q96SJ8,0.333
P37268,Q13634,0.333
P38398,P49918,0.333
P38570,Q9NX47,0.333
P38571,Q9NSI8,0.333
P38935,Q86SG4,0.333
P39019,P57060,0.333
P39019,Q96T88,0.333
P39019,Q9Y264,0.333
P39060,P50897,0.333
P39060,P54289,0.333
P39656,P46777,0.333
P39900,Q86WV1,0.333
P39905,Q04206,0.333
P39905,Q8IZ08,0.333
P40126,Q8N4L8,0.333
P40197,Q8NH21,0.333
P40197,Q8TDF5,0.333
P40198,Q15545,0.333
P40200,Q86VR7,0.333
P40238,P59095,0.333
P40238,Q96DC7,0.333
P40259,P51148,0.333
P40313,Q15652,0.333
P40313,Q9P0K8,0.333
P40313,Q9UDY8,0.333
P40424,P51451,0.333
P40616,Q96NZ9,0.333
P40617,Q5VV17,0.333
P40692,Q68CL5,0.333
P40692,Q96DF8,0.333
P40692,Q9NWV4,0.333
P40818,P49321,0.333
P40818,Q2M1V0,0.333
P40879,Q13257,0.333
P40933,Q9NXR1,0.333
P40938,Q3KP66,0.333
P41134,Q50LG9,0.333
P41162,Q99729,0.333
P41214,Q2M3T9,0.333
P41221,Q12829,0.333
P41231,P54710,0.333
P41231,Q8N9Z0,0.333
P41235,Q16384,0.333
P41240,Q8N7Y1,0.333
P41247,Q5W0Q7,0.333
P41247,Q6UY14,0.333
P41273,Q15195,0.333
P41279,Q969J3,0.333
P41440,P45379,0.333
P41595,Q16661,0.333
P41595,Q6P2E9,0.333
P41597,Q9BZD6,0.333
P41970,Q01658,0.333
P42081,P55040,0.333
P42081,Q5TBK1,0.333
P42127,Q8TBZ3,0.333
P42127,Q9Y6X5,0.333
P42167,Q6PGN9,0.333
P42331,Q12870,0.333
P42336,P61225,0.333
P42336,Q6ZNC4,0.333
P42356,Q9NR83,0.333
P42357,Q9NWW7,0.333
P42566,Q15907,0.333
P42568,Q15013,0.333
P42568,Q9BZJ8,0.333
P42658,Q9GZR5,0.333
P42677,Q8NB78,0.333
P42677,Q9NVS9,0.333
P42677,Q9P2H3,0.333
P42830,Q9H7D0,0.333
P42898,Q96A98,0.333
P43034,Q9H161,0.333
P43088,Q9Y4H4,0.333
P43116,Q8N129,0.333
P43121,Q12772,0.333
P43146,Q92564,0.333
P43146,Q9NYL2,0.333
P43166,Q6ZMG9,0.333
P43234,Q8WV41,0.333
P43235,Q8TAX7,0.333
P43307,Q16585,0.333
P43355,Q5TZ20,0.333
P43355,Q8N2S1,0.333
P43358,Q8IX19,0.333
P43360,Q96H78,0.333
P43360,Q9H6I2,0.333
P43362,Q8TBB6,0.333
P43364,Q13137,0.333
P43366,Q9Y2I2,0.333
P43626,Q5VZ19,0.333
P43627,Q8NDY6,0.333
P43627,Q9H2F3,0.333
P43628,P54108,0.333
P43628,Q9NPE3,0.333
P43629,Q7RTM1,0.333
P43631,Q9NPA2,0.333
P43657,Q9UJX3,0.333
P43694,Q8NG85,0.333
P45877,Q16600,0.333
P45877,Q96HR8,0.333
P45973,Q16878,0.333
P45985,Q96B01,0.333
P46020,Q8NI08,0.333
P46020,Q96NC0,0.333
P46087,Q7Z2Z2,0.333
P46089,Q9NXI6,0.333
P46093,Q96C74,0.333
P46093,Q9UDY2,0.333
P46095,Q15631,0.333
P46108,Q8N8K9,0.333
P46736,Q9Y2K3,0.333
P46776,Q96HU8,0.333
P46781,Q9NRA2,0.333
P46952,Q9UNT1,0.333
P47211,Q92844,0.333
P47869,Q9HC78,0.333
P47888,Q9BSG0,0.333
P47888,Q9NV79,0.333
P47890,Q5JSQ8,0.333
P47893,Q5HYI8,0.333
P47897,Q16514,0.333
P47898,Q9NPR2,0.333
P47900,Q92522,0.333
P47901,Q9BYU5,0.333
P47985,P83369,0.333
P47992,Q15661,0.333
P47992,Q9BVA6,0.333
P48039,Q6UWW0,0.333
P48039,Q96CP6,0.333
P48047,Q9HBL6,0.333
P48051,Q969H4,0.333
P48058,Q4VC12,0.333
P48058,Q9C040,0.333
P48059,Q96SK2,0.333
P48061,Q8IZ08,0.333
P48067,Q6JEL2,0.333
P48145,P51965,0.333
P48145,Q8IX18,0.333
P48165,Q8N5Q1,0.333
P48169,P56645,0.333
P48169,Q6ZUK4,0.333
P48200,P53674,0.333
P48307,Q7Z7E8,0.333
P48357,Q92995,0.333
P48382,Q9BSK0,0.333
P48426,Q86T23,0.333
P48431,Q99819,0.333
P48448,Q15811,0.333
P48449,Q9NWS1,0.333
P48539,Q9BQI0,0.333
P48546,Q9H792,0.333
P48547,Q92600,0.333
P48549,Q9UK96,0.333
P48594,Q99527,0.333
P48651,Q99707,0.333
P48664,Q32P44,0.333
P48730,P60484,0.333
P48740,Q7Z6K5,0.333
P48741,Q5T4F4,0.333
P48775,Q8WVD5,0.333
P48788,P61923,0.333
P49023,Q92896,0.333
P49069,Q86SR1,0.333
P49069,Q92956,0.333
P49137,Q9GZU2,0.333
P49146,Q13636,0.333
P49190,Q8IUH3,0.333
P49207,Q8IY31,0.333
P49223,Q9UPY8,0.333
P49286,Q96SQ7,0.333
P49335,Q9BXU1,0.333
P49335,Q9NZ09,0.333
P49336,Q9NYB0,0.333
P49354,Q96T37,0.333
P49356,Q5T0D9,0.333
P49356,Q5VT06,0.333
P49356,Q9HBU9,0.333
P49366,Q9BXS6,0.333
P49418,Q5VVH2,0.333
P49427,Q8TC29,0.333
P49441,Q5SQS7,0.333
P49441,Q9H1M4,0.333
P49458,Q96GS4,0.333
P49585,Q14416,0.333
P49585,Q9BPX7,0.333
P49619,Q7L804,0.333
P49674,Q14680,0.333
P49720,Q9BVJ7,0.333
P49721,Q496H8,0.333
P49721,Q9BVC4,0.333
P49748,Q96PN6,0.333
P49757,Q8WU20,0.333
P49758,Q5T3J3,0.333
P49765,Q6UXB8,0.333
P49771,Q9BY42,0.333
P49790,Q8WUD1,0.333
P49795,Q5U651,0.333
P49795,Q6P5X5,0.333
P49796,Q9Y2K6,0.333
P49802,Q99616,0.333
P49863,Q9UPM8,0.333
P49888,Q2VWP7,0.333
P49895,Q8NGI1,0.333
P49908,Q8TCW7,0.333
P49917,Q14202,0.333
P49961,Q2TAP0,0.333
P50052,Q16512,0.333
P50150,Q9NUP1,0.333
P50151,Q12968,0.333
P50151,Q9Y2V2,0.333
P50281,Q9H0F7,0.333
P50395,Q96D70,0.333
P50416,Q9UMX9,0.333
P50443,Q8TCT6,0.333
P50454,Q9UKJ5,0.333
P50479,Q8N628,0.333
P50479,Q9H2A9,0.333
P50502,Q9GZV8,0.333
P50542,Q8IWR1,0.333
P50549,Q4ZHG4,0.333
P50553,Q969S0,0.333
P50583,Q96B23,0.333
P50591,Q8WW18,0.333
P50607,Q00889,0.333
P50616,Q9H2G9,0.333
P50748,Q9UK23,0.333
P50750,Q96HJ9,0.333
P50895,Q6PI47,0.333
P51124,Q7Z3E5,0.333
P51124,Q9Y2J8,0.333
P51148,Q96PJ5,0.333
P51161,Q9HBH0,0.333
P51161,Q9UBF1,0.333
P51164,Q4G0M1,0.333
P51172,Q5PR19,0.333
P51172,Q8N5C1,0.333
P51398,Q8TEQ6,0.333
P51452,Q92769,0.333
P51513,Q641Q3,0.333
P51523,Q16798,0.333
P51532,Q99081,0.333
P51571,Q96T23,0.333
P51572,Q5I0G3,0.333
P51572,Q8N1V2,0.333
P51606,P56378,0.333
P51617,Q6ZRQ5,0.333
P51636,Q8N4M1,0.333
P51654,Q8IYP9,0.333
P51654,Q96R67,0.333
P51671,Q9UKS6,0.333
P51677,Q96Q45,0.333
P51679,Q6P1J9,0.333
P51684,Q8N9W5,0.333
P51686,P57071,0.333
P51688,Q9UK61,0.333
P51692,Q96AZ1,0.333
P51693,Q9NRW7,0.333
P51693,Q9Y271,0.333
P51787,Q13087,0.333
